id,walk_subway(m),walk_bus(m),car_airport(m)
2373238,382,60.0,15667.0
2385779,1235,89.0,13869.0
2151558,298,112.0,11088.0
2153153,111,146.0,11798.0
2154075,828,165.0,14083.0
2155610,498,166.0,19837.0
2261367,2694,682.0,36206.0
2267177,424,168.0,33233.0
2607583,435,174.0,13619.0
2607741,254,34.0,13608.0
2392051,520,315.0,15643.0
2400614,724,51.0,9970.0
2404708,732,178.0,12227.0
2415563,398,69.0,22870.0
2619549,375,74.0,14215.0
2619802,365,143.0,14094.0
2620068,239,18.0,13622.0
2281147,207,168.0,14440.0
2284670,1679,131.0,22521.0
2626457,127,94.0,14162.0
2629613,59,50.0,15683.0
2432622,437,461.0,11851.0
2435198,1255,18.0,14205.0
2440357,476,906.0,5096.0
2446430,827,159.0,18678.0
2451647,1157,109.0,15546.0
2454507,181,149.0,16661.0
2635078,326,100.0,16709.0
2636532,364,168.0,13558.0
2291893,588,229.0,23251.0
2296024,2166,132.0,19283.0
2298731,541,55.0,14566.0
2303152,443,112.0,18194.0
2637533,660,974.0,5179.0
2645558,260,192.0,14443.0
2461439,364,148.0,14706.0
2465699,104,122.0,11572.0
2467377,6334,279.0,12472.0
2468186,238,259.0,12874.0
2473861,150,160.0,10399.0
2484057,303,217.0,13410.0
2485774,227,84.0,11811.0
2657331,333,42.0,15310.0
2314392,194,210.0,15573.0
2314553,1166,180.0,9884.0
2838331,138,85.0,10930.0
2847652,549,108.0,14503.0
2847932,329,220.0,12232.0
2659732,466,281.0,10529.0
2669352,393,87.0,13965.0
2508374,5697,419.0,5898.0
2510394,377,1207.0,10635.0
2856770,105,68.0,11719.0
2863408,301,106.0,13851.0
2865117,569,216.0,18711.0
2870840,608,392.0,16030.0
2677779,435,929.0,3119.0
2678075,555,208.0,21491.0
2683387,80,157.0,14190.0
2684223,487,71.0,18966.0
2686412,358,188.0,15206.0
2538248,136,162.0,11110.0
2700296,360,200.0,10975.0
2872353,413,37.0,14267.0
2888088,311,461.0,19459.0
2889377,1158,300.0,7181.0
2700596,559,129.0,10954.0
2723019,547,183.0,23883.0
2563997,350,268.0,14650.0
2569808,370,70.0,11738.0
2574386,564,144.0,16221.0
2922197,274,87.0,10470.0
2923381,365,267.0,17419.0
2936054,584,208.0,18853.0
2939670,602,368.0,15668.0
2940007,358,238.0,14935.0
2748094,203,229.0,14847.0
2942129,393,269.0,15052.0
2947668,479,487.0,3650.0
2968070,200,150.0,14660.0
2578731,487,15218.0,18493.0
2586556,162,170.0,18552.0
2754179,453,149.0,13589.0
2976105,310,90.0,15897.0
2979097,284,64.0,13637.0
2979714,332,109.0,11425.0
2781747,617,362.0,19966.0
2784311,782,36.0,14739.0
3123479,135,69.0,4175.0
3145484,598,21.0,14911.0
3153464,209,309.0,16528.0
3156969,389,15065.0,18407.0
2786015,226,128.0,11533.0
2793834,415,142.0,13900.0
2794584,186,88.0,21027.0
2987465,478,173.0,13565.0
2995000,646,164.0,16050.0
2995209,391,170.0,14067.0
2999527,232,47.0,20550.0
3010664,690,203.0,15920.0
3012871,176,64.0,11459.0
2794762,483,155.0,21599.0
3161739,290,95.0,14322.0
3187925,765,171.0,14479.0
2806791,319,80.0,13677.0
2817967,419,31.0,14259.0
2830518,700,1345.0,5660.0
3043467,608,324.0,17943.0
3052426,662,222.0,24906.0
3191678,1114,321.0,21196.0
3198365,285,123.0,12054.0
3200522,613,161.0,19945.0
3207986,214,159.0,17292.0
3068145,261,66.0,13882.0
3068852,275,79.0,13881.0
3081771,585,96.0,19063.0
3083197,799,140.0,15523.0
3359510,954,67.0,9746.0
3360707,367,155.0,12511.0
3364802,259,89.0,18016.0
3091425,1129,50.0,15140.0
3103596,705,320.0,12186.0
3111416,384,356.0,14774.0
3112284,622,246.0,5561.0
3369100,201,154.0,16384.0
3225975,435,143.0,17447.0
3379914,520,130.0,17630.0
3238517,295,39.0,21486.0
3247291,322,126.0,10879.0
3258196,184,211.0,12300.0
3400739,326,61.0,20865.0
3543839,479,208.0,15827.0
3553768,232,74.0,17394.0
3554230,182,77.0,18235.0
3556577,172,124.0,13806.0
3410516,238,175.0,11480.0
3415102,840,142.0,12656.0
3271893,44,219.0,17566.0
3272201,673,175.0,17721.0
3279671,555,247.0,14790.0
3563271,318,86.0,15346.0
3585452,511,84.0,10736.0
3431922,248,388.0,16087.0
3445138,794,232.0,18267.0
3447238,421,141.0,16009.0
3605388,535,91.0,20301.0
3605524,808,65.0,13236.0
3283409,375,4.0,19983.0
3297016,141,129.0,22819.0
3301484,445,75.0,13994.0
3309982,295,191.0,15949.0
3450210,275,55.0,11821.0
3458525,292,43.0,11135.0
3465604,92,20.0,15451.0
3465651,518,270.0,25385.0
3469171,2077,98.0,37829.0
3311834,1153,67.0,13774.0
3312276,542,230.0,10981.0
3323189,325,59.0,15281.0
3339273,573,224.0,14803.0
3339399,419,48.0,17281.0
3616173,384,162.0,17497.0
3625870,467,108.0,33565.0
3626426,327,106.0,13668.0
3485449,182,187.0,15888.0
3489242,1475,792.0,6712.0
3490317,583,235.0,20824.0
3499016,752,1296.0,4140.0
3627326,69,76.0,10958.0
3636601,343,93.0,15258.0
3636967,1147,93.0,9811.0
3642325,1837,98.0,22487.0
3344237,356,144.0,13247.0
3352608,942,210.0,23085.0
3511778,300,211.0,16719.0
3512428,261,125.0,13109.0
3513052,408,168.0,11139.0
3645284,775,140.0,12993.0
3652230,173,14852.0,18930.0
3659544,807,161.0,15676.0
3662795,329,57.0,27040.0
3738815,434,19.0,13453.0
3741728,1032,30.0,13506.0
3743048,521,147.0,26386.0
3749140,638,562.0,10849.0
3518682,487,148.0,16344.0
3519172,510,133.0,14489.0
3522244,372,137.0,15122.0
3527764,1143,1125.0,5686.0
3529500,645,173.0,16044.0
3663984,249,103.0,13559.0
3670659,435,155.0,15092.0
3677436,386,259.0,20807.0
3678796,440,30.0,15358.0
3530122,702,69.0,11315.0
3530517,110,85.0,15862.0
3752069,300,358.0,10486.0
3758296,454,155.0,11639.0
